Date,Location
Thursday 1 June 2023,New Zealand
Friday 2 June 2023,New Zealand
Saturday 3 June 2023,New Zealand
Sunday 4 June 2023,New Zealand
Monday 5 June 2023,New Zealand
Tuesday 6 June 2023,New Zealand
Wednesday 7 June 2023,New Zealand
Thursday 8 June 2023,New Zealand
Friday 9 June 2023,New Zealand
Saturday 10 June 2023,New Zealand
Sunday 11 June 2023,New Zealand
Monday 12 June 2023,New Zealand
Tuesday 13 June 2023,New Zealand
Wednesday 14 June 2023,New Zealand
Thursday 15 June 2023,New Zealand
Friday 16 June 2023,New Zealand
Saturday 17 June 2023,New Zealand
Sunday 18 June 2023,New Zealand
Monday 19 June 2023,New Zealand
Tuesday 20 June 2023,New Zealand
Wednesday 21 June 2023,New Zealand
Thursday 22 June 2023,New Zealand
Friday 23 June 2023,New Zealand
Saturday 24 June 2023,New Zealand
Sunday 25 June 2023,New Zealand
Monday 26 June 2023,New Zealand
Tuesday 27 June 2023,New Zealand
Wednesday 28 June 2023,New Zealand
Thursday 29 June 2023,New Zealand
Friday 30 June 2023,New Zealand
Saturday 1 July 2023,New Zealand
Sunday 2 July 2023,New Zealand
Monday 3 July 2023,New Zealand
Tuesday 4 July 2023,New Zealand
Wednesday 5 July 2023,Singapore
Thursday 6 July 2023,Essex
Friday 7 July 2023,Essex
Saturday 8 July 2023,Essex
Sunday 9 July 2023,Essex
Monday 10 July 2023,Florence
Tuesday 11 July 2023,Florence
Wednesday 12 July 2023,Florence
Thursday 13 July 2023,Florence
Friday 14 July 2023,Split
Saturday 15 July 2023,Split
Sunday 16 July 2023,Makarska
Monday 17 July 2023,Mljet
Tuesday 18 July 2023,Dubrovnik
Wednesday 19 July 2023,Dubrovnik
Thursday 20 July 2023,Dubrovnik
Friday 21 July 2023,Korcula
Saturday 22 July 2023,Hvar
Sunday 23 July 2023,Naples
Monday 24 July 2023,Naples
Tuesday 25 July 2023,Minori
Wednesday 26 July 2023,Minori
Thursday 27 July 2023,Minori
Friday 28 July 2023,Rome
Saturday 29 July 2023,Istanbul
Sunday 30 July 2023,Istanbul
Monday 31 July 2023,Goreme
Tuesday 1 August 2023,Goreme
Wednesday 2 August 2023,Antalya
Thursday 3 August 2023,Antalya
Friday 4 August 2023,Olympos
Saturday 5 August 2023,Kekova
Sunday 6 August 2023,Fethiye
Monday 7 August 2023,Pamukkale
Tuesday 8 August 2023,Pamukkale
Wednesday 9 August 2023,Selcuk
Thursday 10 August 2023,Canakkale
Friday 11 August 2023,Istanbul
Saturday 12 August 2023,Istanbul
Sunday 13 August 2023,Budapest
Monday 14 August 2023,Budapest
Tuesday 15 August 2023,Budapest
Wednesday 16 August 2023,Mallorca
Thursday 17 August 2023,Mallorca
Friday 18 August 2023,Mallorca
Saturday 19 August 2023,Mallorca
Sunday 20 August 2023,Barcelona
Monday 21 August 2023,Barcelona
Tuesday 22 August 2023,Barcelona
Wednesday 23 August 2023,Barcelona
Thursday 24 August 2023,San Sebastian
Friday 25 August 2023,San Sebastian
Saturday 26 August 2023,San Sebastian
Sunday 27 August 2023,San Sebastian
Monday 28 August 2023,Spain
Tuesday 29 August 2023,Spain
Wednesday 30 August 2023,Spain
Thursday 31 August 2023,Spain
Friday 1 September 2023,Spain
Saturday 2 September 2023,Porto
Sunday 3 September 2023,Porto
Monday 4 September 2023,Porto
Tuesday 5 September 2023,Porto
Wednesday 6 September 2023,Porto
Thursday 7 September 2023,Aveiro
Friday 8 September 2023,Cascais
Saturday 9 September 2023,Cascais
Sunday 10 September 2023,Cascais
Monday 11 September 2023,Cascais
Tuesday 12 September 2023,Lisbon
Wednesday 13 September 2023,Lisbon
Thursday 14 September 2023,Lisbon
Friday 15 September 2023,Amsterdam
Saturday 16 September 2023,Amsterdam
Sunday 17 September 2023,Amsterdam
Monday 18 September 2023,Amsterdam
Tuesday 19 September 2023,Amsterdam
Wednesday 20 September 2023,London
Thursday 21 September 2023,London
Friday 22 September 2023,London
Saturday 23 September 2023,London
Sunday 24 September 2023,London
Monday 25 September 2023,London
Tuesday 26 September 2023,London
Wednesday 27 September 2023,London
Thursday 28 September 2023,Ubud
Friday 29 September 2023,Ubud
Saturday 30 September 2023,Ubud
Sunday 1 October 2023,Gili Trawangan
Monday 2 October 2023,Gili Trawangan
Tuesday 3 October 2023,Gili Trawangan
Wednesday 4 October 2023,Canggu
Thursday 5 October 2023,Canggu
Friday 6 October 2023,Canggu
Saturday 7 October 2023,Canggu
Sunday 8 October 2023,Komodo
Monday 9 October 2023,Komodo
Tuesday 10 October 2023,Komodo
Wednesday 11 October 2023,Komodo
Thursday 12 October 2023,Komodo
Friday 13 October 2023,Bali
Saturday 14 October 2023,Bali
Sunday 15 October 2023,Bali
Monday 16 October 2023,Singapore
Tuesday 17 October 2023,New Zealand
Wednesday 18 October 2023,New Zealand
Thursday 19 October 2023,New Zealand
Friday 20 October 2023,New Zealand
Saturday 21 October 2023,New Zealand
Sunday 22 October 2023,New Zealand
Monday 23 October 2023,New Zealand
Tuesday 24 October 2023,New Zealand
Wednesday 25 October 2023,New Zealand
Thursday 26 October 2023,New Zealand
Friday 27 October 2023,New Zealand
Saturday 28 October 2023,New Zealand
Sunday 29 October 2023,New Zealand
Monday 30 October 2023,New Zealand
Tuesday 31 October 2023,New Zealand
Wednesday 1 November 2023,New Zealand
Thursday 2 November 2023,New Zealand
Friday 3 November 2023,New Zealand
Saturday 4 November 2023,New Zealand
Sunday 5 November 2023,New Zealand
Monday 6 November 2023,Vancouver
Tuesday 7 November 2023,Vancouver
Wednesday 8 November 2023,Vancouver
Thursday 9 November 2023,Vancouver
Friday 10 November 2023,Vancouver
Saturday 11 November 2023,Vancouver
Sunday 12 November 2023,Vancouver
Monday 13 November 2023,Canada
Tuesday 14 November 2023,Canada
Wednesday 15 November 2023,Canada
Thursday 16 November 2023,Canada
Friday 17 November 2023,Canada
Saturday 18 November 2023,Canada
Sunday 19 November 2023,Silver Star
Monday 20 November 2023,Silver Star
Tuesday 21 November 2023,Silver Star
Wednesday 22 November 2023,Silver Star
Thursday 23 November 2023,Silver Star
Friday 24 November 2023,Silver Star
Saturday 25 November 2023,Silver Star
Sunday 26 November 2023,Silver Star
Monday 27 November 2023,Silver Star
Tuesday 28 November 2023,Silver Star
Wednesday 29 November 2023,Silver Star
Thursday 30 November 2023,Silver Star
Friday 1 December 2023,Silver Star
Saturday 2 December 2023,Silver Star
Sunday 3 December 2023,Silver Star
Monday 4 December 2023,Silver Star
Tuesday 5 December 2023,Silver Star
Wednesday 6 December 2023,Silver Star
Thursday 7 December 2023,Silver Star
Friday 8 December 2023,Silver Star
Saturday 9 December 2023,Silver Star
Sunday 10 December 2023,Silver Star
Monday 11 December 2023,Silver Star
Tuesday 12 December 2023,Silver Star
Wednesday 13 December 2023,Silver Star
Thursday 14 December 2023,Silver Star
Friday 15 December 2023,Silver Star
Saturday 16 December 2023,Silver Star
Sunday 17 December 2023,Silver Star
Monday 18 December 2023,Silver Star
Tuesday 19 December 2023,Silver Star
Wednesday 20 December 2023,Silver Star
Thursday 21 December 2023,Silver Star
Friday 22 December 2023,Silver Star
Saturday 23 December 2023,Silver Star
Sunday 24 December 2023,Silver Star
Monday 25 December 2023,Silver Star
Tuesday 26 December 2023,Silver Star
Wednesday 27 December 2023,Silver Star
Thursday 28 December 2023,Silver Star
Friday 29 December 2023,Silver Star
Saturday 30 December 2023,Silver Star
Sunday 31 December 2023,Silver Star
Monday 1 January 2024,Silver Star
Tuesday 2 January 2024,Silver Star
Wednesday 3 January 2024,Silver Star
Thursday 4 January 2024,Silver Star
Friday 5 January 2024,Silver Star
Saturday 6 January 2024,Silver Star
Sunday 7 January 2024,Silver Star
Monday 8 January 2024,Silver Star
Tuesday 9 January 2024,Silver Star
Wednesday 10 January 2024,Silver Star
Thursday 11 January 2024,Silver Star
Friday 12 January 2024,Silver Star
Saturday 13 January 2024,Silver Star
Sunday 14 January 2024,Silver Star
Monday 15 January 2024,Silver Star
Tuesday 16 January 2024,Silver Star
Wednesday 17 January 2024,Silver Star
Thursday 18 January 2024,Silver Star
Friday 19 January 2024,Silver Star
Saturday 20 January 2024,Silver Star
Sunday 21 January 2024,Silver Star
Monday 22 January 2024,Silver Star
Tuesday 23 January 2024,Silver Star
Wednesday 24 January 2024,Silver Star
Thursday 25 January 2024,Silver Star
Friday 26 January 2024,Silver Star
Saturday 27 January 2024,Silver Star
Sunday 28 January 2024,Silver Star
Monday 29 January 2024,Silver Star
Tuesday 30 January 2024,Silver Star
Wednesday 31 January 2024,Silver Star
Thursday 1 February 2024,Silver Star
Friday 2 February 2024,Silver Star
Saturday 3 February 2024,Silver Star
Sunday 4 February 2024,Silver Star
Monday 5 February 2024,Silver Star
Tuesday 6 February 2024,Silver Star
Wednesday 7 February 2024,Silver Star
Thursday 8 February 2024,Silver Star
Friday 9 February 2024,Silver Star
Saturday 10 February 2024,Silver Star
Sunday 11 February 2024,Silver Star
Monday 12 February 2024,Silver Star
Tuesday 13 February 2024,Silver Star
Wednesday 14 February 2024,Silver Star
Thursday 15 February 2024,Silver Star
Friday 16 February 2024,Silver Star
Saturday 17 February 2024,Silver Star
Sunday 18 February 2024,Silver Star
Monday 19 February 2024,Silver Star
Tuesday 20 February 2024,Silver Star
Wednesday 21 February 2024,Silver Star
Thursday 22 February 2024,Silver Star
Friday 23 February 2024,Silver Star
Saturday 24 February 2024,Silver Star
Sunday 25 February 2024,Silver Star
Monday 26 February 2024,Silver Star
Tuesday 27 February 2024,Silver Star
Wednesday 28 February 2024,Silver Star
Thursday 29 February 2024,Silver Star
Friday 1 March 2024,Silver Star
Saturday 2 March 2024,Silver Star
Sunday 3 March 2024,Silver Star
Monday 4 March 2024,Silver Star
Tuesday 5 March 2024,Silver Star
Wednesday 6 March 2024,Silver Star
Thursday 7 March 2024,Silver Star
Friday 8 March 2024,Silver Star
Saturday 9 March 2024,Silver Star
Sunday 10 March 2024,Silver Star
Monday 11 March 2024,Silver Star
Tuesday 12 March 2024,Silver Star
Wednesday 13 March 2024,Silver Star
Thursday 14 March 2024,Silver Star
Friday 15 March 2024,Silver Star
Saturday 16 March 2024,Silver Star
Sunday 17 March 2024,Silver Star
Monday 18 March 2024,Silver Star
Tuesday 19 March 2024,Silver Star
Wednesday 20 March 2024,Silver Star
Thursday 21 March 2024,Silver Star
Friday 22 March 2024,Silver Star
Saturday 23 March 2024,Silver Star
Sunday 24 March 2024,Silver Star
Monday 25 March 2024,Silver Star
Tuesday 26 March 2024,Silver Star
Wednesday 27 March 2024,Silver Star
Thursday 28 March 2024,Silver Star
Friday 29 March 2024,Silver Star
Saturday 30 March 2024,Silver Star
Sunday 31 March 2024,Silver Star
Monday 1 April 2024,Silver Star
Tuesday 2 April 2024,Silver Star
Wednesday 3 April 2024,Silver Star
Thursday 4 April 2024,Silver Star
Friday 5 April 2024,Silver Star
Saturday 6 April 2024,Silver Star
Sunday 7 April 2024,Silver Star
Monday 8 April 2024,Silver Star
Tuesday 9 April 2024,Silver Star
Wednesday 10 April 2024,Silver Star
Thursday 11 April 2024,Silver Star
Friday 12 April 2024,Silver Star
Saturday 13 April 2024,Silver Star
Sunday 14 April 2024,Silver Star
Monday 15 April 2024,Silver Star
Tuesday 16 April 2024,Silver Star
Wednesday 17 April 2024,Silver Star
Thursday 18 April 2024,Silver Star
Friday 19 April 2024,Silver Star
Saturday 20 April 2024,Silver Star
Sunday 21 April 2024,Silver Star
Monday 22 April 2024,Silver Star
Tuesday 23 April 2024,Silver Star
Wednesday 24 April 2024,Silver Star
Thursday 25 April 2024,Silver Star
Friday 26 April 2024,Silver Star
Saturday 27 April 2024,Silver Star
